Date,Time,Trading_Symbol,Instrument_Token,LTP,LTQ,Volume,Open_Interest,BestBid,BestAsk,BidSize,AskSize
20/11/2025,08:46:53.482,NIFTY25NOVFUT,9485826,26071.0,75,0,16795500,0.0,0.0,0,0
20/11/2025,09:10:01.668,NIFTY25NOVFUT,9485826,26071.0,75,0,16795500,0.0,0.0,0,0
20/11/2025,09:15:01.183,NIFTY25NOVFUT,9485826,26134.5,75,3675,16795500,26130.0,26134.3,150,375
20/11/2025,09:15:01.457,NIFTY25NOVFUT,9485826,26134.5,75,3675,16795500,26130.0,26134.3,150,375
20/11/2025,09:15:01.905,NIFTY25NOVFUT,9485826,26130.9,150,3675,16795500,26130.0,26134.3,150,375
20/11/2025,09:15:02.187,NIFTY25NOVFUT,9485826,26131.1,75,3675,16795500,26130.0,26134.3,150,375
20/11/2025,09:15:03.182,NIFTY25NOVFUT,9485826,26134.0,225,9825,16795500,26131.0,26138.3,1500,300
20/11/2025,09:15:03.414,NIFTY25NOVFUT,9485826,26137.8,75,9825,16795500,26131.0,26138.3,1500,300
20/11/2025,09:15:03.929,NIFTY25NOVFUT,9485826,26120.2,75,9825,16795500,26131.0,26138.3,1500,300
20/11/2025,09:15:04.147,NIFTY25NOVFUT,9485826,26120.1,75,9825,16795500,26131.0,26138.3,1500,300
20/11/2025,09:15:04.850,NIFTY25NOVFUT,9485826,26113.7,75,18750,16795500,26114.9,26124.0,75,75
20/11/2025,09:15:05.204,NIFTY25NOVFUT,9485826,26126.2,75,18750,16795500,26114.9,26124.0,75,75
20/11/2025,09:15:06.173,NIFTY25NOVFUT,9485826,26122.4,75,25575,16795500,26113.5,26122.6,300,300
20/11/2025,09:15:06.909,NIFTY25NOVFUT,9485826,26118.8,75,25575,16795500,26113.5,26122.6,300,300
20/11/2025,09:15:07.154,NIFTY25NOVFUT,9485826,26127.9,75,25575,16795500,26113.5,26122.6,300,300
20/11/2025,09:15:07.673,NIFTY25NOVFUT,9485826,26123.3,75,33375,16795500,26124.2,26130.0,75,2025
20/11/2025,09:15:07.908,NIFTY25NOVFUT,9485826,26125.1,75,33375,16795500,26124.2,26130.0,75,2025
20/11/2025,09:15:09.175,NIFTY25NOVFUT,9485826,26137.8,75,38400,16795500,26130.1,26137.9,150,150
20/11/2025,09:15:09.406,NIFTY25NOVFUT,9485826,26137.9,75,38475,16795500,26130.1,26137.9,75,300
20/11/2025,09:15:09.946,NIFTY25NOVFUT,9485826,26137.9,150,38475,16795500,26130.1,26137.9,75,300
20/11/2025,09:15:10.182,NIFTY25NOVFUT,9485826,26130.2,75,38475,16795500,26130.1,26137.9,75,300
20/11/2025,09:15:10.949,NIFTY25NOVFUT,9485826,26132.6,75,41625,16795500,26132.6,26138.4,225,75
20/11/2025,09:15:11.165,NIFTY25NOVFUT,9485826,26132.6,75,41625,16795500,26132.5,26138.4,75,75
20/11/2025,09:15:11.433,NIFTY25NOVFUT,9485826,26134.0,75,41625,16795500,26132.5,26138.4,75,75
20/11/2025,09:15:12.418,NIFTY25NOVFUT,9485826,26137.9,75,41625,16795500,26132.5,26138.4,75,75
20/11/2025,09:15:12.716,NIFTY25NOVFUT,9485826,26135.0,75,47550,16795500,26130.0,26136.4,975,75
20/11/2025,09:15:12.952,NIFTY25NOVFUT,9485826,26130.0,150,47550,16795500,26130.0,26136.4,975,75
20/11/2025,09:15:13.182,NIFTY25NOVFUT,9485826,26134.2,75,47550,16795500,26130.0,26136.4,975,75
20/11/2025,09:15:14.149,NIFTY25NOVFUT,9485826,26132.1,75,50025,16795500,26129.3,26132.1,750,150
20/11/2025,09:15:14.430,NIFTY25NOVFUT,9485826,26132.1,75,50025,16795500,26129.3,26132.1,750,150
20/11/2025,09:15:14.993,NIFTY25NOVFUT,9485826,26126.0,75,50025,16795500,26129.3,26132.1,750,150
20/11/2025,09:15:15.181,NIFTY25NOVFUT,9485826,26126.4,75,50025,16795500,26129.3,26132.1,750,150
20/11/2025,09:15:15.928,NIFTY25NOVFUT,9485826,26132.5,75,50025,16795500,26129.3,26132.1,750,150
20/11/2025,09:15:16.168,NIFTY25NOVFUT,9485826,26132.5,150,54225,16795500,26127.3,26130.0,300,150
20/11/2025,09:15:17.178,NIFTY25NOVFUT,9485826,26132.1,75,54225,16795500,26127.3,26130.0,300,150
20/11/2025,09:15:17.765,NIFTY25NOVFUT,9485826,26132.5,75,55950,16795500,26127.3,26133.4,75,75
20/11/2025,09:15:17.891,NIFTY25NOVFUT,9485826,26132.5,75,55950,16795500,26127.3,26133.4,75,75
20/11/2025,09:15:18.496,NIFTY25NOVFUT,9485826,26132.5,75,55950,16795500,26127.3,26133.4,75,75
20/11/2025,09:15:18.924,NIFTY25NOVFUT,9485826,26130.0,75,55950,16795500,26127.3,26133.4,75,75
20/11/2025,09:15:19.208,NIFTY25NOVFUT,9485826,26130.0,300,55950,16795500,26127.3,26133.4,75,75
20/11/2025,09:15:19.428,NIFTY25NOVFUT,9485826,26131.0,75,58125,16795500,26130.0,26132.1,525,1800
20/11/2025,09:15:20.220,NIFTY25NOVFUT,9485826,26132.1,75,58125,16795500,26130.0,26132.1,525,1800
20/11/2025,09:15:21.172,NIFTY25NOVFUT,9485826,26133.6,75,62100,16795500,26132.9,26134.0,225,375
20/11/2025,09:15:22.181,NIFTY25NOVFUT,9485826,26132.2,75,62100,16795500,26132.9,26134.0,225,375
20/11/2025,09:15:22.422,NIFTY25NOVFUT,9485826,26133.5,75,62100,16795500,26132.9,26134.0,225,375
20/11/2025,09:15:22.746,NIFTY25NOVFUT,9485826,26132.7,75,64350,16795500,26132.7,26135.0,450,300
20/11/2025,09:15:23.206,NIFTY25NOVFUT,9485826,26135.0,150,64350,16795500,26132.7,26135.0,450,300
20/11/2025,09:15:24.179,NIFTY25NOVFUT,9485826,26135.0,75,66525,16795500,26135.0,26139.9,3000,75
20/11/2025,09:15:25.605,NIFTY25NOVFUT,9485826,26135.0,75,66525,16795500,26135.0,26139.9,3000,75
20/11/2025,09:15:25.949,NIFTY25NOVFUT,9485826,26135.0,225,70800,16795500,26135.0,26135.6,1275,75
20/11/2025,09:15:26.235,NIFTY25NOVFUT,9485826,26135.0,900,70800,16795500,26135.0,26135.6,1275,75
20/11/2025,09:15:27.208,NIFTY25NOVFUT,9485826,26135.5,75,70800,16795500,26135.0,26135.6,1275,75
