Trade_ID,Entry,Exit,Strike,IV,Entry_Cost,Exit_Value,Opt_PnL_Pts,Fut_PnL_Pts,Hedge_Volume,Rehedge_Count,Net_Pts,Net_INR
0,2025-11-20 09:15:27.208,2025-11-20 09:35:27.918,26150,0.14146716398745773,403.35,399.3,-4.050000000000011,0.0,0.0,0,-4.050000000000011,-303.75000000000085
1,2025-11-20 09:35:50.172,2025-11-20 09:55:50.986,26150,0.14452743658423425,411.7,402.85,-8.849999999999966,-0.7431471868148947,0.026167154465311482,1,-9.59314718681486,-719.4860390111146
2,2025-11-20 09:56:31.776,2025-11-20 10:16:32.369,26100,0.14719577528536318,417.8,408.35,-9.449999999999989,0.0,0.0,0,-9.449999999999989,-708.7499999999991
3,2025-11-20 10:17:53.252,2025-11-20 10:37:54.246,26150,0.14454375009238718,410.9,396.0,-14.899999999999977,0.39268106921122126,0.029087486608233126,1,-14.507318930788756,-1088.0489198091568
4,2025-11-20 10:37:59.969,2025-11-20 10:58:00.762,26150,0.14388126523047684,408.35,393.8,-14.550000000000011,0.0,0.0,0,-14.550000000000011,-1091.250000000001
5,2025-11-20 10:58:08.995,2025-11-20 11:18:09.544,26150,0.14309870103001593,405.9,394.2,-11.699999999999989,0.2803926480019072,0.023562407395116836,1,-11.419607351998081,-856.470551399856
6,2025-11-20 11:19:15.750,2025-11-20 11:39:16.280,26150,0.14339226968586444,406.1,394.45,-11.650000000000034,0.0,0.0,0,-11.650000000000034,-873.7500000000025
7,2025-11-20 11:40:27.785,2025-11-20 12:00:28.841,26150,0.14341677719354629,406.0,394.4,-11.600000000000023,-0.14741935090478364,0.030085581817289375,1,-11.747419350904806,-881.0564513178605
8,2025-11-20 12:01:26.843,2025-11-20 12:21:28.603,26150,0.14367846374213694,406.45000000000005,393.8,-12.650000000000034,0.24609921263515844,0.03786141732847992,1,-12.403900787364876,-930.2925590523657
9,2025-11-20 12:23:41.313,2025-11-20 12:43:42.866,26150,0.1439234643280506,406.70000000000005,399.15,-7.550000000000068,-0.736488706383625,0.039596167009866345,1,-8.286488706383693,-621.486652978777
10,2025-11-20 12:43:47.581,2025-11-20 13:03:49.107,26200,0.1420446547269821,401.35,389.85,-11.5,0.0,0.0,0,-11.5,-862.5
11,2025-11-20 13:04:10.326,2025-11-20 13:24:11.092,26200,0.14255692867934702,402.3,390.75,-11.550000000000011,0.0,0.0,0,-11.550000000000011,-866.2500000000009
12,2025-11-20 13:24:50.845,2025-11-20 13:44:51.139,26200,0.14328567320108415,403.9,409.0,5.100000000000023,0.0,0.0,0,5.100000000000023,382.5000000000017
13,2025-11-20 13:45:24.108,2025-11-20 14:05:24.625,26250,0.14549693571031092,410.4,400.65,-9.75,0.0,0.0,0,-9.75,-731.25
14,2025-11-20 14:05:45.124,2025-11-20 14:25:46.430,26250,0.14648870761692523,412.70000000000005,400.55,-12.150000000000034,0.0,0.0,0,-12.150000000000034,-911.2500000000025
15,2025-11-20 14:26:06.421,2025-11-20 14:46:06.919,26250,0.14661869424581528,412.6,394.4,-18.200000000000045,0.0,0.0,0,-18.200000000000045,-1365.0000000000034
16,2025-11-20 14:46:45.012,2025-11-20 15:06:45.918,26250,0.14366356556117538,404.0,387.70000000000005,-16.299999999999955,0.0,0.0,0,-16.299999999999955,-1222.4999999999966
17,2025-11-20 15:06:53.012,2025-11-20 15:26:53.283,26200,0.14536277759075167,407.6,395.35,-12.25,-0.6124275267316079,0.0238298648533668,1,-12.862427526731608,-964.6820645048706
