Date,Entry_Time,Entry_LTP,ATM_Strike,Exit_Time,Exit_LTP
2025-11-20,2025-11-20 09:15:27.208,26135.5,26150,2025-11-20 09:35:27.918,26127.9
2025-11-20,2025-11-20 09:35:50.172,26128.5,26150,2025-11-20 09:55:50.986,26101.0
2025-11-20,2025-11-20 09:56:31.776,26105.0,26100,2025-11-20 10:16:32.369,26127.9
2025-11-20,2025-11-20 10:17:53.252,26126.6,26150,2025-11-20 10:37:54.246,26140.0
2025-11-20,2025-11-20 10:37:59.969,26142.0,26150,2025-11-20 10:58:00.762,26158.5
2025-11-20,2025-11-20 10:58:08.995,26160.0,26150,2025-11-20 11:18:09.544,26147.8
2025-11-20,2025-11-20 11:19:15.750,26143.0,26150,2025-11-20 11:39:16.280,26165.0
2025-11-20,2025-11-20 11:40:27.785,26164.1,26150,2025-11-20 12:00:28.841,26169.0
2025-11-20,2025-11-20 12:01:26.843,26169.0,26150,2025-11-20 12:21:28.603,26162.5
2025-11-20,2025-11-20 12:23:41.313,26170.1,26150,2025-11-20 12:43:42.866,26187.7
2025-11-20,2025-11-20 12:43:47.581,26188.0,26200,2025-11-20 13:03:49.107,26196.9
2025-11-20,2025-11-20 13:04:10.326,26197.0,26200,2025-11-20 13:24:11.092,26199.0
2025-11-20,2025-11-20 13:24:50.845,26200.5,26200,2025-11-20 13:44:51.139,26238.0
2025-11-20,2025-11-20 13:45:24.108,26236.6,26250,2025-11-20 14:05:24.625,26250.1
2025-11-20,2025-11-20 14:05:45.124,26250.8,26250,2025-11-20 14:25:46.430,26254.4
2025-11-20,2025-11-20 14:26:06.421,26252.2,26250,2025-11-20 14:46:06.919,26225.0
2025-11-20,2025-11-20 14:46:45.012,26235.5,26250,2025-11-20 15:06:45.918,26210.7
2025-11-20,2025-11-20 15:06:53.012,26210.2,26200,2025-11-20 15:26:53.283,26234.9
