Date,Entry Time,Exit Time,Type,Entry Price,Exit Price,Net Points,PnL,Reason,Cumulative PnL,Peak,Drawdown
2025-09-01,2025-09-01 09:16:04.406,2025-09-01 09:46:05.521,LONG,24637.3,24680.0,41.70000000000073,18765.000000000327,TIME,18765.000000000327,18765.000000000327,0.0
2025-09-01,2025-09-01 09:52:06.779,2025-09-01 10:10:38.528,LONG,24678.9,24657.7,-22.200000000000728,-9990.000000000327,SL,8775.0,18765.000000000327,-9990.000000000327
2025-09-01,2025-09-01 10:16:29.543,2025-09-01 10:46:29.592,LONG,24660.0,24680.0,19.0,8550.0,TIME,17325.0,18765.000000000327,-1440.0000000003274
2025-09-01,2025-09-01 10:57:07.580,2025-09-01 11:27:07.801,LONG,24670.0,24685.0,14.0,6300.0,TIME,23625.0,23625.0,0.0
2025-09-01,2025-09-01 11:33:15.097,2025-09-01 11:52:53.076,LONG,24680.0,24659.6,-21.400000000001455,-9630.000000000655,SL,13994.999999999345,23625.0,-9630.000000000655
2025-09-01,2025-09-01 11:59:08.167,2025-09-01 12:29:08.645,LONG,24660.0,24711.0,50.0,22500.0,TIME,36494.999999999345,36494.999999999345,0.0
2025-09-01,2025-09-01 12:35:00.121,2025-09-01 13:05:00.123,LONG,24710.0,24718.0,7.0,3150.0,TIME,39644.999999999345,39644.999999999345,0.0
2025-09-01,2025-09-01 13:10:52.127,2025-09-01 13:40:52.683,LONG,24725.0,24735.0,9.0,4050.0,TIME,43694.999999999345,43694.999999999345,0.0
2025-09-01,2025-09-01 13:48:51.369,2025-09-01 14:18:51.437,LONG,24721.5,24737.5,15.0,6750.0,TIME,50444.999999999345,50444.999999999345,0.0
2025-09-01,2025-09-01 14:24:39.000,2025-09-01 14:54:39.173,LONG,24740.0,24740.0,-1.0,-450.0,TIME,49994.999999999345,50444.999999999345,-450.0
2025-09-02,2025-09-02 09:15:58.512,2025-09-02 09:40:13.610,SHORT,24785.0,24805.7,-21.700000000000728,-9765.000000000327,SL,40229.99999999902,50444.999999999345,-10215.000000000327
2025-09-02,2025-09-02 09:45:45.648,2025-09-02 09:52:08.876,SHORT,24809.8,24837.0,-28.200000000000728,-12690.000000000327,SL,27539.99999999869,50444.999999999345,-22905.000000000655
2025-09-02,2025-09-02 09:57:35.183,2025-09-02 10:27:36.179,LONG,24832.2,24847.0,13.799999999999272,6209.999999999673,TIME,33749.99999999836,50444.999999999345,-16695.000000000982
2025-09-02,2025-09-02 10:34:46.415,2025-09-02 11:04:47.287,LONG,24839.0,24856.8,16.799999999999272,7559.999999999673,TIME,41309.999999998035,50444.999999999345,-9135.00000000131
2025-09-02,2025-09-02 11:10:38.145,2025-09-02 11:22:24.194,LONG,24858.0,24838.0,-21.0,-9450.0,SL,31859.999999998035,50444.999999999345,-18585.00000000131
2025-09-02,2025-09-02 11:30:43.877,2025-09-02 12:00:44.214,LONG,24843.0,24853.0,9.0,4050.0,TIME,35909.999999998035,50444.999999999345,-14535.00000000131
2025-09-02,2025-09-02 12:09:00.431,2025-09-02 12:39:00.754,LONG,24850.5,24866.6,15.099999999998545,6794.999999999345,TIME,42704.99999999738,50444.999999999345,-7740.0000000019645
2025-09-02,2025-09-02 12:44:50.728,2025-09-02 13:14:50.960,SHORT,24868.1,24842.0,25.099999999998545,11294.999999999345,TIME,53999.999999996726,53999.999999996726,0.0
2025-09-02,2025-09-02 13:20:39.438,2025-09-02 13:24:16.545,LONG,24824.0,24803.0,-22.0,-9900.0,SL,44099.999999996726,53999.999999996726,-9900.0
2025-09-02,2025-09-02 13:29:52.986,2025-09-02 13:41:30.955,LONG,24805.0,24780.0,-26.0,-11700.0,SL,32399.999999996726,53999.999999996726,-21600.0
2025-09-02,2025-09-02 13:47:12.285,2025-09-02 14:00:03.221,SHORT,24761.3,24701.3,59.0,26550.0,TP,58949.999999996726,58949.999999996726,0.0
2025-09-02,2025-09-02 14:05:37.047,2025-09-02 14:29:04.136,LONG,24679.9,24655.0,-25.900000000001455,-11655.000000000655,SL,47294.99999999607,58949.999999996726,-11655.000000000655
2025-09-02,2025-09-02 14:35:03.071,2025-09-02 15:05:03.462,LONG,24680.0,24689.8,8.799999999999272,3959.9999999996726,TIME,51254.99999999574,58949.999999996726,-7695.000000000982
2025-09-02,2025-09-02 15:11:17.315,2025-09-02 15:25:08.277,LONG,24703.0,24682.6,-21.400000000001455,-9630.000000000655,SL,41624.99999999509,58949.999999996726,-17325.000000001637
2025-09-03,2025-09-03 09:23:41.504,2025-09-03 09:25:37.495,SHORT,24654.1,24674.2,-21.100000000002183,-9495.000000000982,SL,32129.999999994106,58949.999999996726,-26820.00000000262
2025-09-03,2025-09-03 09:31:26.281,2025-09-03 09:39:06.075,LONG,24689.4,24665.0,-25.400000000001455,-11430.000000000655,SL,20699.99999999345,58949.999999996726,-38250.000000003274
2025-09-03,2025-09-03 09:44:50.248,2025-09-03 09:47:14.061,SHORT,24657.0,24678.5,-22.5,-10125.0,SL,10574.999999993452,58949.999999996726,-48375.000000003274
2025-09-03,2025-09-03 09:52:55.757,2025-09-03 10:22:56.997,LONG,24690.0,24697.2,6.200000000000728,2790.0000000003274,TIME,13364.999999993779,58949.999999996726,-45585.00000000295
2025-09-03,2025-09-03 10:28:50.998,2025-09-03 10:35:22.715,LONG,24708.0,24688.0,-21.0,-9450.0,SL,3914.999999993779,58949.999999996726,-55035.00000000295
2025-09-03,2025-09-03 10:41:28.715,2025-09-03 11:11:29.276,LONG,24668.8,24688.5,18.700000000000728,8415.000000000327,TIME,12329.999999994106,58949.999999996726,-46620.00000000262
2025-09-03,2025-09-03 11:19:42.523,2025-09-03 11:49:42.572,LONG,24687.0,24697.9,9.900000000001455,4455.000000000655,TIME,16784.99999999476,58949.999999996726,-42165.000000001965
2025-09-03,2025-09-03 11:56:37.007,2025-09-03 12:26:41.171,LONG,24708.0,24764.8,55.79999999999927,25109.999999999673,TIME,41894.999999994434,58949.999999996726,-17055.000000002292
2025-09-03,2025-09-03 12:32:48.301,2025-09-03 12:48:09.731,LONG,24754.7,24731.0,-24.700000000000728,-11115.000000000327,SL,30779.999999994106,58949.999999996726,-28170.00000000262
