Entry_Time,Type,Net_Pts,PnL_INR,Reason,Degree
2025-09-01 09:16:04.406,SHORT,-22.600000000002183,-10170.000000000982,SL,3.0
2025-09-01 09:23:43.781,SHORT,-22.299999999999272,-10034.999999999673,SL,2.48
2025-09-01 09:37:06.540,SHORT,4.0,1800.0,TIME,2.76
2025-09-01 10:13:19.541,SHORT,-2.900000000001455,-1305.0000000006548,TIME,2.2
2025-09-01 10:49:42.277,SHORT,-8.099999999998545,-3644.999999999345,TIME,2.2
2025-09-01 11:26:24.805,SHORT,22.299999999999272,10034.999999999673,TIME,2.04
2025-09-01 12:03:25.073,SHORT,-21.80000000000291,-9810.00000000131,SL,2.0
2025-09-01 12:30:40.865,SHORT,-3.0,-1350.0,TIME,2.48
2025-09-01 13:06:20.633,SHORT,-16.400000000001455,-7380.000000000655,TIME,2.16
2025-09-01 13:42:33.142,SHORT,-19.0,-8550.0,TIME,2.08
2025-09-01 14:18:19.414,SHORT,-0.7000000000007276,-315.0000000003274,TIME,2.4
2025-09-01 14:54:06.411,SHORT,-22.700000000000728,-10215.000000000327,SL,2.12
2025-09-01 15:03:40.160,SHORT,-21.0,-9450.0,SL,2.52
2025-09-02 09:15:58.512,LONG,-22.0,-9900.0,SL,3.04
2025-09-02 09:25:52.372,SHORT,-21.0,-9450.0,SL,2.32
2025-09-02 09:37:15.397,LONG,59.29999999999927,26684.999999999673,TP,2.52
2025-09-02 10:11:06.397,SHORT,0.0,0.0,TIME,2.8
2025-09-02 10:47:44.935,SHORT,-1.5,-675.0,TIME,2.32
2025-09-02 11:23:59.432,SHORT,-21.0,-9450.0,SL,2.08
2025-09-02 11:49:10.201,SHORT,12.0,5400.0,TIME,2.12
2025-09-02 12:24:45.443,SHORT,-21.0,-9450.0,SL,2.16
2025-09-02 12:40:22.713,SHORT,17.200000000000728,7740.000000000327,TIME,2.32
2025-09-02 13:16:23.814,SHORT,59.900000000001455,26955.000000000655,TP,2.4
2025-09-02 13:47:12.285,LONG,-25.299999999999272,-11384.999999999673,SL,2.8
2025-09-02 14:00:25.747,SHORT,33.900000000001455,15255.000000000655,TIME,2.84
2025-09-02 14:36:14.416,SHORT,-21.299999999999272,-9584.999999999673,SL,2.24
2025-09-02 14:43:31.054,SHORT,-22.0,-9900.0,SL,2.4
2025-09-02 14:52:04.661,SHORT,6.900000000001455,3105.000000000655,TIME,2.52
2025-09-03 09:23:41.504,LONG,30.400000000001455,13680.000000000655,TIME,2.6
2025-09-03 09:59:18.541,SHORT,-21.0,-9450.0,SL,2.2
2025-09-03 10:10:03.582,SHORT,49.0,22050.0,TIME,2.36
2025-09-03 10:45:54.485,SHORT,-21.0,-9450.0,SL,2.0
2025-09-03 11:19:42.523,SHORT,-11.900000000001455,-5355.000000000655,TIME,2.36
2025-09-03 11:56:37.007,SHORT,-21.599999999998545,-9719.999999999345,SL,2.2
2025-09-03 12:17:21.771,SHORT,-21.0,-9450.0,SL,2.52
2025-09-03 12:29:13.301,SHORT,40.79999999999927,18359.999999999673,TIME,2.56
2025-09-03 13:06:50.052,SHORT,-21.200000000000728,-9540.000000000327,SL,2.08
2025-09-03 13:41:11.268,SHORT,-21.0,-9450.0,SL,2.04
2025-09-03 13:52:01.568,SHORT,-21.0,-9450.0,SL,2.32
2025-09-04 09:16:11.185,SHORT,-21.299999999999272,-9584.999999999673,SL,3.2
2025-09-04 09:35:08.174,SHORT,32.29999999999927,14534.999999999673,TIME,2.88
2025-09-04 10:10:48.135,SHORT,35.79999999999927,16109.999999999673,TIME,2.8
2025-09-04 10:47:03.917,SHORT,-22.400000000001455,-10080.000000000655,SL,2.32
2025-09-04 10:56:27.460,SHORT,13.0,5850.0,TIME,2.16
2025-09-04 11:35:17.668,LONG,6.099999999998545,2744.999999999345,TIME,2.24
2025-09-04 12:11:03.415,SHORT,-3.400000000001455,-1530.0000000006548,TIME,2.2
2025-09-04 12:47:13.621,SHORT,12.0,5400.0,TIME,2.28
2025-09-04 13:35:00.015,SHORT,24.099999999998545,10844.999999999345,TIME,2.08
2025-09-04 14:11:38.777,SHORT,33.0,14850.0,TIME,2.12
2025-09-04 14:47:25.812,SHORT,41.900000000001455,18855.000000000655,TIME,2.24
2025-09-05 09:15:30.897,LONG,-16.0,-7200.0,TIME,3.48
2025-09-05 09:52:41.158,SHORT,59.29999999999927,26684.999999999673,TP,2.24
2025-09-05 10:15:29.611,LONG,-21.299999999999272,-9584.999999999673,SL,3.08
2025-09-05 10:26:20.434,SHORT,-21.5,-9675.0,SL,2.2
2025-09-05 10:32:58.213,SHORT,-22.799999999999272,-10259.999999999673,SL,2.4
2025-09-05 10:52:39.453,SHORT,-25.700000000000728,-11565.000000000327,SL,2.28
2025-09-05 11:10:25.662,SHORT,-21.0,-9450.0,SL,2.24
2025-09-05 11:18:34.449,LONG,-20.30000000000291,-9135.00000000131,TIME,2.64
2025-09-05 11:57:22.238,SHORT,4.0,1800.0,TIME,2.16
2025-09-05 12:33:39.995,SHORT,-21.5,-9675.0,SL,2.28
2025-09-05 13:07:08.746,SHORT,-21.0,-9450.0,SL,2.08
2025-09-05 13:18:31.862,SHORT,-22.5,-10125.0,SL,2.28
2025-09-05 13:45:28.309,SHORT,-21.099999999998545,-9494.999999999345,SL,2.72
2025-09-05 13:53:18.016,SHORT,-22.299999999999272,-10034.999999999673,SL,2.12
2025-09-05 13:59:34.767,SHORT,-21.5,-9675.0,SL,2.52
2025-09-05 14:09:10.566,SHORT,17.5,7875.0,TIME,2.4
2025-09-05 14:45:06.568,SHORT,-22.0,-9900.0,SL,2.4
2025-09-05 15:03:07.085,SHORT,-21.400000000001455,-9630.000000000655,SL,2.44
2025-09-08 09:15:33.099,SHORT,-21.0,-9450.0,SL,3.2
2025-09-08 09:38:39.129,LONG,-21.100000000002183,-9495.000000000982,SL,3.0
2025-09-08 10:01:13.618,SHORT,34.0,15300.0,TIME,2.08
2025-09-08 10:37:16.932,SHORT,-21.599999999998545,-9719.999999999345,SL,2.32
