Date,Entry Time,Exit Time,Type,Entry Price,Exit Price,Net Points,PnL,Reason
2025-09-01,2025-09-01 09:16:04.406,2025-09-01 09:16:33.572,LONG,24637.3,24630.6,-7.700000000000728,-3465.0000000003274,VWAP_CROSS
2025-09-01,2025-09-01 09:23:02.478,2025-09-01 09:28:34.981,LONG,24658.0,24646.0,-13.0,-5850.0,VWAP_CROSS
2025-09-01,2025-09-01 09:34:18.194,2025-09-01 10:04:18.298,LONG,24672.0,24677.9,4.900000000001455,2205.000000000655,TIME
2025-09-01,2025-09-01 10:10:03.258,2025-09-01 10:10:27.316,LONG,24670.0,24661.7,-9.299999999999272,-4184.999999999673,VWAP_CROSS
2025-09-01,2025-09-01 10:17:54.759,2025-09-01 10:17:56.565,LONG,24665.0,24661.8,-4.200000000000728,-1890.0000000003274,VWAP_CROSS
2025-09-01,2025-09-01 10:25:59.796,2025-09-01 10:26:01.090,LONG,24662.0,24660.0,-3.0,-1350.0,VWAP_CROSS
2025-09-01,2025-09-01 10:45:34.574,2025-09-01 10:55:49.576,LONG,24670.0,24661.0,-10.0,-4500.0,VWAP_CROSS
2025-09-01,2025-09-01 11:01:40.310,2025-09-01 11:31:40.594,LONG,24681.9,24692.2,9.299999999999272,4184.999999999673,TIME
2025-09-01,2025-09-01 13:00:44.881,2025-09-01 13:30:45.503,LONG,24715.0,24728.0,12.0,5400.0,TIME
2025-09-01,2025-09-01 13:36:52.365,2025-09-01 14:06:52.412,LONG,24735.0,24735.0,-1.0,-450.0,TIME
2025-09-01,2025-09-01 14:12:29.460,2025-09-01 14:29:26.657,LONG,24743.0,24722.4,-21.599999999998545,-9719.999999999345,SL
2025-09-01,2025-09-01 14:38:09.713,2025-09-01 15:08:10.680,LONG,24744.0,24744.3,-0.7000000000007276,-315.0000000003274,TIME
2025-09-02,2025-09-02 09:16:01.014,2025-09-02 09:17:04.822,LONG,24785.0,24783.0,-3.0,-1350.0,VWAP_CROSS
